precision,recall,f1-score,support
1.0,0.98,0.98989898989899,100.0
0.9801980198019802,0.99,0.9850746268656716,100.0
0.99,0.99,0.99,100.0
0.9797979797979798,0.97,0.9748743718592964,100.0
1.0,1.0,1.0,100.0
1.0,0.98,0.98989898989899,100.0
1.0,1.0,1.0,100.0
0.9900990099009901,1.0,0.9950248756218906,100.0
0.9803921568627451,1.0,0.99009900990099,100.0
1.0,0.98,0.98989898989899,100.0
0.9803921568627451,1.0,0.99009900990099,100.0
1.0,0.99,0.9949748743718593,100.0
0.970873786407767,1.0,0.9852216748768473,100.0
1.0,0.99,0.9949748743718593,100.0
1.0,1.0,1.0,100.0
0.9913333333333333,0.9913333333333333,0.9913333333333333,0.9913333333333333
0.9914502073089472,0.9913333333333334,0.9913360191644248,1500.0
0.9914502073089472,0.9913333333333333,0.9913360191644252,1500.0
